libxsmm dense, 0, 0, 7106.235000
Mismatch 696969.000000 != 0.000000 at row 46, col 8
Mismatch 76455.000000 != 11547.000000 at row 47, col 0
Mismatch 154377.000000 != 0.000000 at row 47, col 1
Mismatch 232299.000000 != 0.000000 at row 47, col 2
Mismatch 310221.000000 != 18477.000000 at row 47, col 3
Mismatch 388143.000000 != 0.000000 at row 47, col 4
Mismatch 466065.000000 != 0.000000 at row 47, col 5
Mismatch 543987.000000 != 25407.000000 at row 47, col 6
Mismatch 621909.000000 != 0.000000 at row 47, col 7
Mismatch 699831.000000 != 0.000000 at row 47, col 8


------ EXPECTED -----=-
63765.000000	126459.000000	189153.000000	251847.000000	314541.000000	377235.000000	439929.000000	502623.000000	565317.000000	
64035.000000	127053.000000	190071.000000	253089.000000	316107.000000	379125.000000	442143.000000	505161.000000	568179.000000	
64305.000000	127647.000000	190989.000000	254331.000000	317673.000000	381015.000000	444357.000000	507699.000000	571041.000000	
64575.000000	128241.000000	191907.000000	255573.000000	319239.000000	382905.000000	446571.000000	510237.000000	573903.000000	
64845.000000	128835.000000	192825.000000	256815.000000	320805.000000	384795.000000	448785.000000	512775.000000	576765.000000	
65115.000000	129429.000000	193743.000000	258057.000000	322371.000000	386685.000000	450999.000000	515313.000000	579627.000000	
65385.000000	130023.000000	194661.000000	259299.000000	323937.000000	388575.000000	453213.000000	517851.000000	582489.000000	
65655.000000	130617.000000	195579.000000	260541.000000	325503.000000	390465.000000	455427.000000	520389.000000	585351.000000	
65925.000000	131211.000000	196497.000000	261783.000000	327069.000000	392355.000000	457641.000000	522927.000000	588213.000000	
66195.000000	131805.000000	197415.000000	263025.000000	328635.000000	394245.000000	459855.000000	525465.000000	591075.000000	
66465.000000	132399.000000	198333.000000	264267.000000	330201.000000	396135.000000	462069.000000	528003.000000	593937.000000	
66735.000000	132993.000000	199251.000000	265509.000000	331767.000000	398025.000000	464283.000000	530541.000000	596799.000000	
67005.000000	133587.000000	200169.000000	266751.000000	333333.000000	399915.000000	466497.000000	533079.000000	599661.000000	
67275.000000	134181.000000	201087.000000	267993.000000	334899.000000	401805.000000	468711.000000	535617.000000	602523.000000	
67545.000000	134775.000000	202005.000000	269235.000000	336465.000000	403695.000000	470925.000000	538155.000000	605385.000000	
67815.000000	135369.000000	202923.000000	270477.000000	338031.000000	405585.000000	473139.000000	540693.000000	608247.000000	
68085.000000	135963.000000	203841.000000	271719.000000	339597.000000	407475.000000	475353.000000	543231.000000	611109.000000	
68355.000000	136557.000000	204759.000000	272961.000000	341163.000000	409365.000000	477567.000000	545769.000000	613971.000000	
68625.000000	137151.000000	205677.000000	274203.000000	342729.000000	411255.000000	479781.000000	548307.000000	616833.000000	
68895.000000	137745.000000	206595.000000	275445.000000	344295.000000	413145.000000	481995.000000	550845.000000	619695.000000	
69165.000000	138339.000000	207513.000000	276687.000000	345861.000000	415035.000000	484209.000000	553383.000000	622557.000000	
69435.000000	138933.000000	208431.000000	277929.000000	347427.000000	416925.000000	486423.000000	555921.000000	625419.000000	
69705.000000	139527.000000	209349.000000	279171.000000	348993.000000	418815.000000	488637.000000	558459.000000	628281.000000	
69975.000000	140121.000000	210267.000000	280413.000000	350559.000000	420705.000000	490851.000000	560997.000000	631143.000000	
70245.000000	140715.000000	211185.000000	281655.000000	352125.000000	422595.000000	493065.000000	563535.000000	634005.000000	
70515.000000	141309.000000	212103.000000	282897.000000	353691.000000	424485.000000	495279.000000	566073.000000	636867.000000	
70785.000000	141903.000000	213021.000000	284139.000000	355257.000000	426375.000000	497493.000000	568611.000000	639729.000000	
71055.000000	142497.000000	213939.000000	285381.000000	356823.000000	428265.000000	499707.000000	571149.000000	642591.000000	
71325.000000	143091.000000	214857.000000	286623.000000	358389.000000	430155.000000	501921.000000	573687.000000	645453.000000	
